JoinID,Batch_TagID,ReleaseDate,RecaptureDate,RecaptureMonthNum,DaysatSea,SeaAge,Type,Radius,M1.circ,M2.circ,M1.incr,M2.incr,smolt.incr,FS.incr,FW.incr,SS.incr,SW.incr,PS.incr,Y2.incr,marine.incr,total.incr,smolt.circ,FS.circ,FW.circ,SS.circ,SW.circ,PS.circ,Y2.circ,marine.circ,total.circ,FMC.circ,numannuli,ReleaseYear,FMC.incr,RecapType,afterwinter_incr,afterwinter_circ
1975_18679,7501_18679,1975-05-05,1977-06-27,6,784,2,river,4.925,32,56,3.3169,4.743,1.4754466666666668,0.22907999999999995,1.5404200000000001,0.96854,0.4505599999999994,1.7695,1.4190999999999994,3.2757533333333333,4.7512,52,4,28,15,9,32,24,59,111,53,2,1975,1.6492466666666665,River recaptures,1.5062533333333332,27
1975_19817,7501_19817,1975-05-05,1977-07-07,7,794,2,river,4.3173,30,53,2.8498,4.1126,1.1125666666666667,0.9397,0.7093599999999998,0.7649800000000004,0.4950799999999993,1.6490599999999997,1.2600599999999997,2.9992,4.111766666666666,51,16,14,13,10,30,23,56,107,52,2,1975,1.3181000000000003,River recaptures,1.3501400000000003,26
1975_21385,7501_21385,1975-05-05,1977-07-03,7,790,2,river,4.536,28,61,2.6589,4.4112,1.1328399999999998,0.8744000000000003,0.5495799999999997,0.8542000000000001,0.9370599999999998,1.42398,1.7912599999999999,3.25786,4.3907,40,17,11,14,19,28,33,63,103,41,2,1975,1.2781399999999996,River recaptures,1.83388,35
1975_23318,7501_23318,1975-05-05,1977-07-08,7,795,2,river,4.9661,33,66,3.1154,4.7955,1.20938,0.9234999999999998,0.7841800000000001,0.6349600000000004,1.0458599999999993,1.7076799999999999,1.6808199999999998,3.49822,4.7076,44,16,17,11,22,33,33,70,114,45,2,1975,1.46788,River recaptures,1.79054,37
1975_23345,7501_23345,1975-05-05,1977-07-03,7,790,2,river,3.7575,32,51,2.6181,3.5926,0.8608533333333335,0.25604000000000005,1.2158599999999997,0.6265800000000001,0.35602,1.4718999999999998,0.9826000000000001,2.5383133333333334,3.399166666666667,30,5,27,11,8,32,19,54,84,31,2,1975,1.2191866666666664,River recaptures,1.0664133333333337,22
1975_24199,7501_24199,1975-05-05,1977-06-26,6,783,2,river,3.6934,23,46,2.3169,3.5038,1.1963933333333332,0.3622200000000002,0.7299800000000001,0.6989399999999999,0.4416199999999999,1.0922000000000003,1.1405599999999998,2.346373333333333,3.5427666666666666,43,7,16,13,10,23,23,50,93,44,2,1975,1.3470266666666668,River recaptures,1.254173333333333,27
1975_71218,7503_71218,1975-05-05,1977-07-13,7,800,2,river,4.257,33,49,3.07,4.0352,1.2549933333333334,0.7091000000000003,1.0285799999999998,0.23995999999999995,0.7041999999999997,1.7376800000000001,0.9441599999999997,2.8130400000000004,4.068033333333334,49,13,20,3,13,33,16,53,102,50,2,1975,1.4439599999999992,River recaptures,1.0753600000000003,20
1975_72611,7503_72611,1975-05-05,1977-06-28,6,785,2,river,4.0598,32,56,2.613,3.7905,0.7107933333333333,0.5532199999999999,1.10168,0.73862,0.43022000000000027,1.6549,1.1688400000000003,3.02474,3.735533333333333,28,10,22,14,10,32,24,62,90,29,2,1975,1.03506,River recaptures,1.36984,30
1975_73541,7503_73541,1975-05-05,1977-07-11,7,798,2,river,4.7771,32,60,2.8845,4.487,1.25038,0.7174399999999999,0.8363999999999998,0.9233800000000003,0.6786400000000001,1.5538399999999997,1.6020200000000004,3.38102,4.6314,54,15,17,15,13,32,28,66,120,55,2,1975,1.39608,River recaptures,1.8271800000000002,34
1975_74785,7503_74785,1975-05-05,1977-06-14,6,771,2,river,5.3453,33,63,3.4301,5.1386,1.3778599999999999,0.7531600000000003,1.1846799999999997,0.9175,0.7963000000000005,1.93784,1.7138000000000004,3.7838399999999996,5.1617,43,12,21,14,16,33,30,67,110,44,2,1975,1.5614600000000003,River recaptures,1.8459999999999996,34
1975_74788,7503_74788,1975-05-05,1977-07-04,7,791,2,river,4.2208,35,64,2.7873,4.145,1.14906,0.6860400000000002,0.8741199999999998,0.64202,0.6908599999999998,1.56016,1.3328799999999998,2.908973333333334,4.058033333333333,44,15,20,13,16,35,29,65,109,45,2,1975,1.3118266666666658,River recaptures,1.3488133333333339,30
1975_74907,7503_74907,1975-05-05,1977-07-04,7,791,2,river,3.9576,27,53,2.5657,3.8931,0.8926666666666667,0.84806,0.7114599999999998,0.6893400000000001,0.6275400000000002,1.5595199999999998,1.3168800000000003,2.8898333333333337,3.7825,32,14,13,12,14,27,26,54,86,33,2,1975,1.067766666666666,River recaptures,1.330313333333334,27
1975_76203,7503_76203,1975-05-05,1977-06-27,6,784,2,river,4.8721,31,63,2.7944,4.6769,1.0904866666666666,0.8230600000000001,0.81752,0.7722199999999999,1.1058999999999997,1.6405800000000001,1.8781199999999996,3.640746666666667,4.731233333333333,45,16,15,12,20,31,32,67,112,46,2,1975,1.2313533333333329,River recaptures,2.000166666666667,36
1975_76602,7503_76602,1975-05-05,1977-06-16,6,773,2,river,4.2809,31,59,2.7206,4.0686,1.2508666666666668,0.7048800000000002,0.6372999999999998,0.6353,0.7183200000000003,1.34218,1.3536200000000003,2.8091333333333335,4.0600000000000005,48,15,16,12,16,31,28,63,111,49,2,1975,1.4717666666666664,River recaptures,1.4669533333333336,32
1975_76848,7503_76848,1975-05-05,1977-07-02,7,789,2,river,4.7929,24,56,2.8003,4.7133,1.2233266666666667,0.6766400000000004,0.7459399999999996,0.5126600000000003,1.3748999999999993,1.42258,1.8875599999999997,3.3332066666666664,4.556533333333333,39,11,13,8,24,24,32,57,96,40,2,1975,1.459693333333334,River recaptures,1.9106266666666665,33
1975_77465,7504_77465,1975-05-06,1977-09-28,9,876,2,river,4.8049,25,56,2.7153,4.5622,1.1403533333333333,0.82544,0.6055800000000002,0.3148599999999999,1.4844600000000003,1.4310200000000002,1.7993200000000003,3.38318,4.523533333333333,40,14,11,5,26,25,31,60,100,41,2,1975,1.42172,River recaptures,1.9521599999999997,35
1975_77601,7504_77601,1975-05-06,1977-07-08,7,794,2,river,5.4114,33,61,3.5002,5.127,1.5456466666666668,1.0349,0.84998,0.4657,1.1566799999999997,1.8848799999999999,1.6223799999999997,3.7102866666666667,5.255933333333333,57,18,15,7,21,33,28,67,124,58,2,1975,1.7011133333333337,River recaptures,1.8254066666666668,34
1975_78695,7504_78695,1975-05-06,1977-07-03,7,789,2,river,4.7424,30,58,2.9334,4.566,1.1596666666666666,0.97272,0.6631200000000002,0.5707599999999999,1.0662199999999995,1.6358400000000002,1.6369799999999994,3.3605666666666663,4.5202333333333335,42,17,13,9,19,30,28,61,103,43,2,1975,1.3818333333333337,River recaptures,1.724726666666666,31
1975_79319,7504_79319,1975-05-06,1977-07-02,7,788,2,river,4.57,21,49,2.6111,4.2969,1.3098266666666667,0.34934,0.87656,0.9503599999999999,0.77142,1.2259,1.7217799999999999,3.11604,4.425866666666666,34,5,16,14,14,21,28,54,88,35,2,1975,1.4539600000000004,River recaptures,1.89014,33
1975_79809,7504_79809,1975-05-06,1977-06-17,6,773,2,river,4.5773,29,55,2.939,4.346,1.3330933333333335,0.89588,0.6325599999999998,0.7081200000000001,0.6911199999999997,1.5284399999999998,1.3992399999999998,3.0855733333333335,4.418666666666667,52,16,13,13,13,29,26,60,112,53,2,1975,1.4917266666666666,River recaptures,1.5571333333333337,31
1975_80214,7504_80214,1975-05-06,1977-07-14,7,800,2,river,4.4255,28,56,2.7759,4.1942,1.2703933333333333,0.19784000000000002,1.1522000000000001,0.2814399999999999,1.1310799999999999,1.3500400000000001,1.4125199999999998,2.92934,4.1997333333333335,47,4,24,5,23,28,28,61,108,48,2,1975,1.4961600000000006,River recaptures,1.5792999999999997,33
1975_80550,7504_80550,1975-05-06,1977-07-05,7,791,2,river,4.3137,32,61,2.6375,4.1127,0.8953933333333333,0.6345400000000001,0.9420000000000002,0.8832199999999997,0.5839800000000004,1.5765400000000003,1.4672,3.163406666666667,4.0588,33,13,19,16,13,32,29,65,98,34,2,1975,1.150293333333333,River recaptures,1.5868666666666666,33
1975_80634,7504_80634,1975-05-06,1977-06-30,6,786,2,river,5.4738,33,63,3.6328,5.379,1.5992133333333334,0.9614000000000003,0.98658,0.27453999999999956,1.446425,1.9479800000000003,1.7209649999999996,3.6890866666666664,5.2883,58,16,17,4,26,33,30,64,122,59,2,1975,1.7847133333333334,River recaptures,1.7411066666666661,31
1975_80979,7504_80979,1975-05-06,1977-07-04,7,790,2,river,4.435,28,53,2.8176,4.1354,1.3002266666666666,0.6440800000000002,0.7686799999999998,0.7937000000000003,0.5238799999999997,1.41276,1.31758,2.9524733333333337,4.2527,45,11,17,14,11,28,25,59,104,46,2,1975,1.4825266666666659,River recaptures,1.5397133333333337,31
1975_82459,7504_82459,1975-05-06,1977-06-28,6,784,2,river,4.68,29,56,2.9598,4.5392,1.18392,0.83128,0.86192,1.0759000000000003,0.4400599999999999,1.6932,1.5159600000000002,3.3039133333333335,4.487833333333334,44,14,15,18,9,29,27,59,103,45,2,1975,1.3760866666666662,River recaptures,1.6107133333333334,30
1975_82542,7504_82542,1975-05-06,1977-07-05,7,791,2,river,4.3073,29,52,2.8039,4.0949,1.02956,0.8672400000000002,0.7319399999999998,0.5066999999999999,0.7758799999999999,1.59918,1.2825799999999998,3.01734,4.0469,39,15,14,8,15,29,23,56,95,40,2,1975,1.2899599999999998,River recaptures,1.4181599999999999,27
1975_82835,7504_82835,1975-05-06,1977-07-02,7,788,2,river,4.3537,33,57,2.8215,4.1128,0.96808,0.8483399999999999,0.8243800000000001,0.8593199999999999,0.4334800000000003,1.67272,1.2928000000000002,3.120086666666666,4.088166666666666,36,16,17,15,9,33,24,62,98,37,2,1975,1.233613333333334,River recaptures,1.447366666666666,29
1975_83066,7504_83066,1975-05-06,1977-07-02,7,788,2,river,4.4642,28,48,2.8105,4.1608,1.2517866666666666,0.8988999999999998,0.6743600000000001,0.5945400000000003,0.6969599999999998,1.5732599999999999,1.2915,3.08768,4.339466666666667,48,16,12,8,12,28,20,53,101,49,2,1975,1.3765199999999997,River recaptures,1.5144200000000003,25
1975_85362,7504_85362,1975-05-06,1977-07-01,7,787,2,river,5.0459,31,64,2.7628,4.7406,1.0178933333333333,0.36404000000000014,1.2731799999999998,0.46484000000000014,1.5117399999999996,1.63722,1.9765799999999998,3.8351733333333335,4.853066666666667,43,7,24,7,26,31,33,70,113,44,2,1975,1.210726666666666,River recaptures,2.1979533333333334,39
1975_85831,7504_85831,1975-05-06,1977-07-09,7,795,2,river,5.1809,32,58,3.3243,4.9287,1.1997533333333332,0.9698599999999999,0.85378,0.6273200000000001,0.9754200000000002,1.82364,1.6027400000000003,3.597813333333333,4.7975666666666665,48,16,16,9,17,32,26,63,111,49,2,1975,1.5830866666666674,River recaptures,1.774173333333333,31
