JoinID,ReleaseYear,Radius,fwA1,fwA2,fwA3,FMC,M1,M2,SM1,SM2,WM1,WM2,Circ,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126
1975_18679,1975,4.925,0.7605,1.5494,NA,1.6006,3.3169,4.743,2.363,4.4509,3.277,4.743,112,0.0474,0.0872,0.1271,0.1688,0.2086,0.2333,0.256,0.28,0.3167,0.3452,0.3755,0.3962,0.4248,0.4514,0.4798,0.512,0.5462,0.572,0.6031,0.6353,0.6694,0.7017,0.7358,0.7586,0.787,0.8117,0.8325,0.8591,0.8837,0.9027,0.933,0.9596,0.9918,1.0203,1.043,1.0677,1.0999,1.1265,1.1682,1.2042,1.2289,1.2554,1.2801,1.3047,1.3256,1.3465,1.3711,1.4015,1.4223,1.4508,1.4849,1.5115,1.5494,1.6006,1.667,1.7239,1.7826,1.8604,1.9249,1.978,2.0216,2.0785,2.124,2.1752,2.2264,2.2928,2.3611,2.4255,2.4976,2.5488,2.6152,2.6797,2.7271,2.7859,2.8295,2.8826,2.9281,2.9717,3.0324,3.0798,3.1329,3.1841,3.2391,3.2751,3.3169,3.3764,3.4534,3.5084,3.5805,3.6582,3.7208,3.7868,3.8422,3.8953,3.956,4.0185,4.0792,4.1494,4.229,4.303,4.3713,4.4509,4.4964,4.5458,4.5894,4.6292,4.6747,4.7105,4.743,4.7904,4.8378,4.8871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975_19817,1975,4.3173,0.6238,1.077,NA,1.2419,2.8498,4.1126,2.1482,3.6992,2.8498,4.0348,108,0.0683,0.0967,0.1195,0.1346,0.1536,0.1687,0.1801,0.1972,0.218,0.2351,0.2598,0.2749,0.2939,0.311,0.3299,0.3489,0.3659,0.3849,0.4077,0.4323,0.4551,0.474,0.4987,0.5176,0.5347,0.5518,0.565,0.5802,0.5935,0.6105,0.6238,0.6466,0.6636,0.6845,0.7053,0.7243,0.7508,0.7812,0.8058,0.8362,0.8551,0.8798,0.9025,0.9253,0.9556,0.986,1.0201,1.0466,1.077,1.1244,1.1661,1.204,1.2419,1.3006,1.3519,1.405,1.46,1.5377,1.5984,1.6723,1.7208,1.7785,1.8335,1.8885,1.9525,2.0174,2.0857,2.1501,2.2089,2.2734,2.3322,2.3792,2.4308,2.4782,2.5237,2.5747,2.626,2.6768,2.7152,2.7607,2.81,2.8498,2.901,2.9608,3.0166,3.0751,3.1247,3.1854,3.2517,3.3029,3.3579,3.4148,3.4884,3.5418,3.6177,3.6985,3.7608,3.8319,3.885,3.9293,3.9723,4.0064,4.036,4.069,4.1126,4.1581,4.2069,4.2548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975_21385,1975,4.536,0.4817,1.1663,NA,1.2649,2.6589,4.4112,2.2568,4.0262,2.5204,4.3259,104,0.0683,0.1062,0.1441,0.1802,0.2067,0.2409,0.2693,0.2959,0.3262,0.3565,0.3847,0.4153,0.4514,0.4817,0.5215,0.5595,0.6012,0.6315,0.6688,0.696,0.7169,0.7358,0.7548,0.787,0.8231,0.8515,0.8743,0.8932,0.9179,0.9369,0.9596,0.9843,1.0089,1.0336,1.0582,1.0867,1.1132,1.1398,1.1663,1.1986,1.2384,1.2649,1.327,1.3616,1.4217,1.4893,1.5455,1.5949,1.6405,1.6839,1.7315,1.7884,1.8396,1.8965,1.9306,1.9894,2.0406,2.1051,2.1753,2.2568,2.308,2.3554,2.3952,2.4427,2.4801,2.5204,2.5621,2.6152,2.6589,2.7082,2.7707,2.8333,2.8984,2.9604,3.0226,3.0865,3.1481,3.1975,3.2538,3.315,3.3871000000000002,3.4592,3.5218,3.573,3.645,3.7038,3.7558,3.8119,3.8629,3.9117,3.9636,4.0262,4.0793,4.1229,4.17,4.2178,4.2557,4.2898,4.3259,4.3714,4.4093,4.4547,4.5,4.536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975_23318,1975,4.9661,0.7547,1.4032,NA,1.4487,3.1154,4.7955,2.2792,3.7564,2.7419,4.7594,115,0.1726,0.2067,0.2294,0.2484,0.2731,0.2977,0.3205,0.3413,0.366,0.3868,0.4134,0.4361,0.4665,0.4892,0.512,0.5423,0.5745,0.6125,0.6409,0.6656,0.6902,0.7092,0.7319,0.7547,0.7907,0.8267,0.8514,0.876,0.9026,0.9386,0.9595,0.9898,1.0183,1.0505,1.0827,1.1188,1.1453,1.1775,1.2099,1.2382,1.2667,1.297,1.3349,1.3747,1.4032,1.4506,1.498,1.5549,1.6118,1.68,1.7312,1.7881,1.8393,1.9,1.9531,2.0119,2.0782,2.1294,2.2015,2.2792,2.3361,2.4008,2.4613,2.5181,2.575,2.6262,2.6679,2.7059,2.7438,2.7855,2.8329,2.8689,2.9126,2.9505,2.9922,3.0301,3.0756,3.1154,3.1628,3.2159,3.2747,3.3297,3.3885,3.4454,3.5042,3.5667,3.6312,3.69,3.7564,3.8155,3.8815,3.9235,3.9896,4.0474,4.1147,4.1811,4.2285,4.2911,4.3443,4.3916,4.4257,4.4674,4.5072,4.5471,4.5812,4.6172,4.6589,4.7007,4.7348,4.7594,4.7955,4.8372,4.877,4.913,4.9415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975_23345,1975,3.7575,0.6484,1.1394,NA,1.1811,2.6181,3.5926,1.9242,3.2551,2.5366,3.5565,85,0.2039,0.3033,0.3534,0.419,0.4607,0.4872,0.51,0.5251,0.5441,0.5706,0.5915,0.6086,0.6275,0.6484,0.6742,0.6958,0.7242,0.7469,0.7791,0.7962,0.819,0.8474,0.8778,0.9081,0.9403,0.9774,1.0067,1.0341,1.073,1.1128,1.1394,1.183,1.2304,1.2766,1.3422,1.4124,1.4674,1.5202,1.5659,1.6125,1.6607,1.7195,1.7669,1.8147,1.8712,1.9242,1.9701,2.0209,2.074,2.1176,2.1536,2.1963,2.2333,2.2693,2.3053,2.3432,2.3811,2.4266,2.4627,2.5006,2.5366,2.5764,2.6181,2.6579,2.7091,2.7527,2.8153,2.8684,2.9252,2.9935,3.0466,3.1053,3.1774,3.2551,3.3149,3.3783,3.4257,3.475,3.503,3.5319,3.5565,3.5926,3.6429,3.6872,3.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975_24199,1975,3.6934,0.4986,0.9461,NA,1.2741,2.3169,3.5038,1.7614,3.1359,2.2297,3.4639,94,0.0588,0.0815,0.1005,0.1176,0.1365,0.1593,0.1934,0.2161,0.2389,0.2597,0.2825,0.309,0.3299,0.3527,0.3773,0.4038,0.4266,0.455,0.4797,0.4986,0.5271,0.5555,0.5859,0.6219,0.6579,0.6939,0.73,0.7508,0.783,0.821,0.8437,0.8608,0.8816,0.9063,0.9252,0.9461,0.9916,1.0314,1.0731,1.1148,1.1641,1.1964,1.2343,1.2722,1.3177,1.3627,1.4198,1.4656,1.5206,1.5793,1.6362,1.6969,1.7614,1.805,1.8477,1.8979,1.9441,1.9965,2.0363,2.0818,2.1235,2.1538,2.1974,2.2309,2.279,2.315,2.3662,2.4174,2.4667,2.5059,2.5463,2.607,2.6582,2.7131,2.7681,2.8269,2.8838,2.9407,2.9975,3.0569,3.1359,3.208,3.2571,3.3009,3.3445,3.3824,3.4128,3.4393,3.4639,3.5055,3.5474,3.591,3.6194,3.6587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975_71118,1975,4.257,0.3394,1.0011,NA,1.1831,3.2819,NA,1.8466,3.7596,3.2363,4.0762,93,0.1517,0.1839,0.2123,0.2332,0.2484,0.2692,0.2901,0.3166,0.3394,0.3792,0.4152,0.4474,0.4835,0.5176,0.5555,0.5858,0.6086,0.6332,0.6636,0.6958,0.7205,0.7508,0.7754,0.802,0.8342,0.8608,0.893,0.9233,0.9442,0.9726,1.0011,1.0484,1.0977,1.1451,1.1831,1.2437,1.2987,1.3499,1.4106,1.475,1.5376,1.5953,1.6476,1.7082,1.7769,1.8466,1.8997,1.9699,2.0324,2.095,2.1576,2.2201,2.2827,2.3263,2.3718,2.4173,2.4533,2.4912,2.533,2.5751,2.624,2.6676,2.7131,2.7718,2.8268,2.878,2.9235,2.969,3.0107,3.0562,3.1093,3.1529,3.1946,3.2363,3.2819,3.3298,3.3804,3.4259,3.4809,3.5492,3.6236,3.6908,3.7599,3.8298,3.8904,3.953,4.0054,4.0478,4.0744,4.1123,4.1559,4.19,4.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975_71218,1975,4.257,0.658,1.3482,NA,1.3842,3.07,4.0352,2.2015,3.3393,3.07,4.0352,103,0.0721,0.1043,0.1289,0.1536,0.1745,0.201,0.2275,0.2465,0.2693,0.2901,0.3091,0.3337,0.3584,0.3887,0.4039,0.421,0.4437,0.4722,0.4987,0.5196,0.5423,0.5601,0.584,0.6144,0.6352,0.658,0.6921,0.7225,0.7585,0.7945,0.8192,0.8457,0.8733,0.8988,0.9235,0.9443,0.9709,0.9993,1.0278,1.06,1.0903,1.1169,1.1453,1.1814,1.2136,1.2439,1.2696,1.2894,1.319,1.3482,1.3842,1.443,1.5132,1.573,1.6219,1.6807,1.7302,1.7857,1.8242,1.8739,1.9398,2.0062,2.0593,2.1238,2.2002,2.2565,2.3077,2.3722,2.4234,2.4727,2.5144,2.5656,2.6035,2.6433,2.6894,2.7287,2.7737,2.8178,2.8671,2.9221,2.9704,3.0245,3.0719,3.1591,3.2463,3.339,3.4272,3.5004,3.563,3.637,3.7026,3.7659,3.8091,3.855,3.8873,3.9214,3.9536,3.9954,4.0352,4.0845,4.1243,4.1698,4.2153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975_72611,1975,4.0598,0.4134,0.8002,NA,0.9595,2.613,3.7905,1.5852,3.362,2.4366,3.5971,91,0.2256,0.256,0.2863,0.3108,0.3356,0.3527,0.3736,0.3944,0.4134,0.4418,0.4636,0.4835,0.5044,0.5271,0.5537,0.5727,0.5897,0.6087,0.6352,0.6618,0.6883,0.713,0.7433,0.7736,0.8021,0.84,0.8836,0.9196,0.9587,1.0046,1.0673,1.1162,1.1718,1.2306,1.2856,1.3368,1.3937,1.4601,1.5226,1.5852,1.6383,1.6914,1.7536,1.8202,1.8696,1.9184,1.9758,2.0327,2.0896,2.1465,2.1825,2.2261,2.2754,2.3228,2.3614,2.4025,2.4366,2.4821,2.5257,2.5731,2.613,2.6736,2.7229,2.7722,2.8159,2.8706,2.9277,2.9839,3.0338,3.0823,3.1363,3.1894,3.2458,3.2953,3.362,3.4207,3.4776,3.525,3.563,3.5971,3.6369,3.6748,3.7128,3.7507,3.7905,3.8284,3.8701,3.9155,3.9555,3.9915,4.0275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975_73541,1975,4.7771,0.5045,1.2384,NA,1.3635,2.8845,4.487,2.0595,3.9825,2.454,4.4889,121,0.0626,0.0891,0.1138,0.1384,0.1612,0.1821,0.1991,0.2143,0.239,0.2579,0.2769,0.2977,0.3167,0.3452,0.3679,0.3945,0.4248,0.4514,0.4798,0.5036,0.5272,0.5576,0.586,0.6126,0.641,0.6732,0.6998,0.7188,0.7434,0.7681,0.7908,0.8136,0.8325,0.8477,0.8648,0.8818,0.8989,0.9141,0.9349,0.952,0.9729,0.9918,1.0127,1.0355,1.0601,1.0848,1.1075,1.1417,1.1701,1.1986,1.2156,1.2384,1.2725,1.3048,1.3332,1.3635,1.4204,1.4641,1.5153,1.5627,1.6006,1.6347,1.684,1.722,1.7569,1.8025,1.8623,1.9266,1.9901,2.0595,2.1202,2.1852,2.2345,2.2876,2.3345,2.3762,2.4161,2.454,2.4995,2.5459,2.5905,2.638,2.693,2.7374,2.7897,2.8364,2.8845,2.9404,3.0126,3.0784,3.1405,3.1993,3.2676,3.3302,3.3852,3.4439,3.4954,3.5407,3.5908,3.6639,3.7326,3.81,3.8915,3.9825,4.047,4.1119,4.1593,4.2044,4.2461,4.2855,4.3296,4.3694,4.413,4.451,4.4889,4.5322,4.5886,4.6416,4.6832,4.724,4.7525,NA,NA,NA,NA,NA
